MUNICIPIO,PRECINTO,DIST. REP.,UNIDADES,DIST. SEN
San Juan,1,1,27,1
San Juan,2,2,28,1
San Juan,3,3,28,1
San Juan,4,4,28,1
San Juan,5,5,6,1
Guaynabo,6,5,17,1
Aguas Buenas,81,5,6,1
Guaynabo,7,6,17,2
Cataño,8,6,7,2
Bayamón,41,6,2,2
Bayamón,10,7,28,2
Bayamón,11,8,26,2
Bayamón,12,9,6,2
Toa Alta,13,9,14,2
Toa Baja,14,10,20,2
Cataño,9,10,2,2
Dorado,15,11,9,3
Vega Alta,16,11,10,3
Vega Baja,18,11,8,3
Vega Baja,19,12,13,3
Vega Alta,17,12,5,3
Morovis,20,12,14,3
Manatí,21,12,3,3
Manatí,22,13,13,3
Florida,24,13,7,3
Barceloneta,25,13,8,3
Arecibo,26,13,6,3
Arecibo,27,14,26,3
Hatillo,28,14,4,3
Hatillo,29,15,7,3
Camuy,30,15,16,3
Quebradillas,31,15,11,3
Isabela,32,16,22,4
San Sebastián,33,16,20,4
Aguadilla,85,16,1,4
Aguadilla,35,17,18,4
Moca,36,17,11,4
Moca,37,18,3,4
Aguada,38,18,17,4
Rincón,39,18,7,4
Añasco,40,18,14,4
Mayagüez,42,19,29,4
San Germán,43,19,10,4
San Germán,44,20,10,4
Hormigueros,45,20,8,4
Cabo Rojo,46,20,11,4
Las Marias,34,21,9,5
Lajas,47,21,14,5
Guánica,48,21,14,5
Sábana Grande,49,21,5,5
Maricao,50,21,6,5
Yauco,51,21,9,5
Ciales,23,22,11,5
Lares,53,22,13,5
Utuado,54,22,20,5
Adjuntas,55,22,3,5
Jayuya,56,22,4,5
Yauco,52,23,15,5
Guayanilla,58,23,14,5
Peñuelas,59,23,16,5
Ponce,60,23,3,5
Adjuntas,111,23,9,5
Ponce,61,24,24,5
Ponce,62,25,20,5
Jayuya,57,25,7,5
Juana Díaz,63,25,13,5
Villalba,65,26,17,6
Orocovis,66,26,17,6
Coamo,68,26,7,6
Barranquitas,70,26,11,6
Corozal,112,26,3,6
Juana Díaz,64,27,4,6
Santa Isabel,67,27,7,6
Aibonito,69,27,8,6
Coamo,75,27,11,6
Barranquitas,71,28,2,6
Corozal,72,28,12,6
Naranjito,73,28,12,6
Comerío,74,28,11,6
Cidra,76,29,18,6
Cayey,77,29,22,6
Salinas,78,30,14,6
Guayama,79,30,21,6
Arroyo,80,30,7,6
Santa Isabel,113,30,3,6
Caguas,82,31,18,7
Gurabo,84,31,9,7
Caguas,83,32,32,7
Juncos,88,33,15,7
Las Piedras,89,33,10,7
Gurabo,114,33,1,7
San Lorenzo,86,33,5,7
San Lorenzo,87,34,9,7
Patillas,91,34,17,7
Maunabo,92,34,9,7
Yabucoa,93,34,16,7
Las Piedras,90,35,5,7
Humacao,94,35,26,7
Naguabo,95,35,12,7
Vieques,96,36,5,8
Culebra,97,36,2,8
Ceiba,98,36,7,8
Fajardo,99,36,12,8
Luquillo,100,36,10,8
Río Grande,101,36,4,8
Río Grande,102,37,14,8
Loíza,103,37,9,8
Canóvanas,104,37,8,8
Canóvanas,105,38,7,8
Carolina,106,38,8,8
Trujillo Alto,109,38,9,8
Trujillo Alto,110,39,8,8
Carolina,107,39,10,8
Carolina,108,40,21,8